direction_id,route_id,service_id,shape_id,trip_id
1,54763879,GENERIC,54763879_shp,54763879_16
0,54763879,GENERIC,54763879_shp,54763879_17
1,54763879,GENERIC,54763879_shp,54763879_18
0,54763879,GENERIC,54763879_shp,54763879_19
1,54763879,GENERIC,54763879_shp,54763879_20
0,54763879,GENERIC,54763879_shp,54763879_21
1,54763879,GENERIC,54763879_shp,54763879_22
0,54763879,GENERIC,54763879_shp,54763879_23
1,54763879,GENERIC,54763879_shp,54763879_24
0,5254946,GENERIC,5254946_shp,5254946_1
1,5254946,GENERIC,5254946_shp,5254946_2
0,5254946,GENERIC,5254946_shp,5254946_3
1,5254946,GENERIC,5254946_shp,5254946_4
0,5254946,GENERIC,5254946_shp,5254946_5
1,5254946,GENERIC,5254946_shp,5254946_6
0,5254946,GENERIC,5254946_shp,5254946_7
1,5254946,GENERIC,5254946_shp,5254946_8
0,5254946,GENERIC,5254946_shp,5254946_9
1,5254946,GENERIC,5254946_shp,5254946_10
0,5254946,GENERIC,5254946_shp,5254946_11
1,5254946,GENERIC,5254946_shp,5254946_12
0,5254946,GENERIC,5254946_shp,5254946_13
1,5254946,GENERIC,5254946_shp,5254946_14
0,5254946,GENERIC,5254946_shp,5254946_15
1,5254946,GENERIC,5254946_shp,5254946_16
0,5254946,GENERIC,5254946_shp,5254946_17
1,5254946,GENERIC,5254946_shp,5254946_18
0,5254946,GENERIC,5254946_shp,5254946_19
1,5254946,GENERIC,5254946_shp,5254946_20
0,5254946,GENERIC,5254946_shp,5254946_21
1,5254946,GENERIC,5254946_shp,5254946_22
0,5254946,GENERIC,5254946_shp,5254946_23
1,5254946,GENERIC,5254946_shp,5254946_24
0,88248718,GENERIC,88248718_shp,88248718_1
1,88248718,GENERIC,88248718_shp,88248718_2
0,88248718,GENERIC,88248718_shp,88248718_3
1,88248718,GENERIC,88248718_shp,88248718_4
0,88248718,GENERIC,88248718_shp,88248718_5
1,88248718,GENERIC,88248718_shp,88248718_6
0,88248718,GENERIC,88248718_shp,88248718_7
1,88248718,GENERIC,88248718_shp,88248718_8
0,88248718,GENERIC,88248718_shp,88248718_9
1,88248718,GENERIC,88248718_shp,88248718_10
0,88248718,GENERIC,88248718_shp,88248718_11
1,88248718,GENERIC,88248718_shp,88248718_12
0,88248718,GENERIC,88248718_shp,88248718_13
1,88248718,GENERIC,88248718_shp,88248718_14
0,88248718,GENERIC,88248718_shp,88248718_15
1,88248718,GENERIC,88248718_shp,88248718_16
0,88248718,GENERIC,88248718_shp,88248718_17
1,88248718,GENERIC,88248718_shp,88248718_18
0,88248718,GENERIC,88248718_shp,88248718_19
1,88248718,GENERIC,88248718_shp,88248718_20
0,88248718,GENERIC,88248718_shp,88248718_21
1,88248718,GENERIC,88248718_shp,88248718_22
0,88248718,GENERIC,88248718_shp,88248718_23
1,88248718,GENERIC,88248718_shp,88248718_24
0,12803255,GENERIC,12803255_shp,12803255_1
1,12803255,GENERIC,12803255_shp,12803255_2
0,12803255,GENERIC,12803255_shp,12803255_3
1,12803255,GENERIC,12803255_shp,12803255_4
0,12803255,GENERIC,12803255_shp,12803255_5
1,12803255,GENERIC,12803255_shp,12803255_6
0,12803255,GENERIC,12803255_shp,12803255_7
1,12803255,GENERIC,12803255_shp,12803255_8
0,12803255,GENERIC,12803255_shp,12803255_9
1,12803255,GENERIC,12803255_shp,12803255_10
0,12803255,GENERIC,12803255_shp,12803255_11
1,12803255,GENERIC,12803255_shp,12803255_12
0,12803255,GENERIC,12803255_shp,12803255_13
1,12803255,GENERIC,12803255_shp,12803255_14
0,12803255,GENERIC,12803255_shp,12803255_15
1,12803255,GENERIC,12803255_shp,12803255_16
0,12803255,GENERIC,12803255_shp,12803255_17
1,12803255,GENERIC,12803255_shp,12803255_18
0,12803255,GENERIC,12803255_shp,12803255_19
1,12803255,GENERIC,12803255_shp,12803255_20
0,12803255,GENERIC,12803255_shp,12803255_21
1,12803255,GENERIC,12803255_shp,12803255_22
0,12803255,GENERIC,12803255_shp,12803255_23
1,12803255,GENERIC,12803255_shp,12803255_24
0,93466500,GENERIC,93466500_shp,93466500_1
1,93466500,GENERIC,93466500_shp,93466500_2
0,93466500,GENERIC,93466500_shp,93466500_3
1,93466500,GENERIC,93466500_shp,93466500_4
0,93466500,GENERIC,93466500_shp,93466500_5
1,93466500,GENERIC,93466500_shp,93466500_6
0,93466500,GENERIC,93466500_shp,93466500_7
1,93466500,GENERIC,93466500_shp,93466500_8
0,93466500,GENERIC,93466500_shp,93466500_9
1,93466500,GENERIC,93466500_shp,93466500_10
0,93466500,GENERIC,93466500_shp,93466500_11
1,93466500,GENERIC,93466500_shp,93466500_12
0,93466500,GENERIC,93466500_shp,93466500_13
1,93466500,GENERIC,93466500_shp,93466500_14
0,93466500,GENERIC,93466500_shp,93466500_15
1,93466500,GENERIC,93466500_shp,93466500_16
0,93466500,GENERIC,93466500_shp,93466500_17
1,93466500,GENERIC,93466500_shp,93466500_18
0,93466500,GENERIC,93466500_shp,93466500_19
1,93466500,GENERIC,93466500_shp,93466500_20
0,93466500,GENERIC,93466500_shp,93466500_21
1,93466500,GENERIC,93466500_shp,93466500_22
0,93466500,GENERIC,93466500_shp,93466500_23
1,93466500,GENERIC,93466500_shp,93466500_24
0,61831291,GENERIC,61831291_shp,61831291_1
1,61831291,GENERIC,61831291_shp,61831291_2
0,61831291,GENERIC,61831291_shp,61831291_3
1,61831291,GENERIC,61831291_shp,61831291_4
0,61831291,GENERIC,61831291_shp,61831291_5
1,61831291,GENERIC,61831291_shp,61831291_6
0,61831291,GENERIC,61831291_shp,61831291_7
1,61831291,GENERIC,61831291_shp,61831291_8
0,61831291,GENERIC,61831291_shp,61831291_9
1,61831291,GENERIC,61831291_shp,61831291_10
0,61831291,GENERIC,61831291_shp,61831291_11
1,61831291,GENERIC,61831291_shp,61831291_12
0,61831291,GENERIC,61831291_shp,61831291_13
1,61831291,GENERIC,61831291_shp,61831291_14
0,61831291,GENERIC,61831291_shp,61831291_15
1,61831291,GENERIC,61831291_shp,61831291_16
0,61831291,GENERIC,61831291_shp,61831291_17
1,61831291,GENERIC,61831291_shp,61831291_18
0,61831291,GENERIC,61831291_shp,61831291_19
1,61831291,GENERIC,61831291_shp,61831291_20
0,61831291,GENERIC,61831291_shp,61831291_21
1,61831291,GENERIC,61831291_shp,61831291_22
0,61831291,GENERIC,61831291_shp,61831291_23
1,61831291,GENERIC,61831291_shp,61831291_24
0,12488842,GENERIC,12488842_shp,12488842_1
1,12488842,GENERIC,12488842_shp,12488842_2
0,12488842,GENERIC,12488842_shp,12488842_3
1,12488842,GENERIC,12488842_shp,12488842_4
0,12488842,GENERIC,12488842_shp,12488842_5
1,12488842,GENERIC,12488842_shp,12488842_6
0,12488842,GENERIC,12488842_shp,12488842_7
1,12488842,GENERIC,12488842_shp,12488842_8
0,12488842,GENERIC,12488842_shp,12488842_9
1,12488842,GENERIC,12488842_shp,12488842_10
0,12488842,GENERIC,12488842_shp,12488842_11
1,12488842,GENERIC,12488842_shp,12488842_12
0,12488842,GENERIC,12488842_shp,12488842_13
1,12488842,GENERIC,12488842_shp,12488842_14
0,12488842,GENERIC,12488842_shp,12488842_15
1,12488842,GENERIC,12488842_shp,12488842_16
0,12488842,GENERIC,12488842_shp,12488842_17
1,12488842,GENERIC,12488842_shp,12488842_18
0,12488842,GENERIC,12488842_shp,12488842_19
1,12488842,GENERIC,12488842_shp,12488842_20
0,12488842,GENERIC,12488842_shp,12488842_21
1,12488842,GENERIC,12488842_shp,12488842_22
0,12488842,GENERIC,12488842_shp,12488842_23
1,12488842,GENERIC,12488842_shp,12488842_24
0,29109244,GENERIC,29109244_shp,29109244_1
1,29109244,GENERIC,29109244_shp,29109244_2
0,29109244,GENERIC,29109244_shp,29109244_3
1,29109244,GENERIC,29109244_shp,29109244_4
0,29109244,GENERIC,29109244_shp,29109244_5
1,29109244,GENERIC,29109244_shp,29109244_6
0,29109244,GENERIC,29109244_shp,29109244_7
1,29109244,GENERIC,29109244_shp,29109244_8
0,29109244,GENERIC,29109244_shp,29109244_9
1,29109244,GENERIC,29109244_shp,29109244_10
0,29109244,GENERIC,29109244_shp,29109244_11
1,29109244,GENERIC,29109244_shp,29109244_12
0,29109244,GENERIC,29109244_shp,29109244_13
1,29109244,GENERIC,29109244_shp,29109244_14
0,29109244,GENERIC,29109244_shp,29109244_15
1,29109244,GENERIC,29109244_shp,29109244_16
0,29109244,GENERIC,29109244_shp,29109244_17
1,29109244,GENERIC,29109244_shp,29109244_18
0,29109244,GENERIC,29109244_shp,29109244_19
1,29109244,GENERIC,29109244_shp,29109244_20
0,29109244,GENERIC,29109244_shp,29109244_21
1,29109244,GENERIC,29109244_shp,29109244_22
0,29109244,GENERIC,29109244_shp,29109244_23
1,29109244,GENERIC,29109244_shp,29109244_24
0,71273345,GENERIC,71273345_shp,71273345_1
1,71273345,GENERIC,71273345_shp,71273345_2
0,71273345,GENERIC,71273345_shp,71273345_3
1,71273345,GENERIC,71273345_shp,71273345_4
0,71273345,GENERIC,71273345_shp,71273345_5
1,71273345,GENERIC,71273345_shp,71273345_6
0,71273345,GENERIC,71273345_shp,71273345_7
1,71273345,GENERIC,71273345_shp,71273345_8
0,71273345,GENERIC,71273345_shp,71273345_9
1,71273345,GENERIC,71273345_shp,71273345_10
0,71273345,GENERIC,71273345_shp,71273345_11
1,71273345,GENERIC,71273345_shp,71273345_12
0,71273345,GENERIC,71273345_shp,71273345_13
1,71273345,GENERIC,71273345_shp,71273345_14
0,71273345,GENERIC,71273345_shp,71273345_15
1,71273345,GENERIC,71273345_shp,71273345_16
0,71273345,GENERIC,71273345_shp,71273345_17
1,71273345,GENERIC,71273345_shp,71273345_18
0,71273345,GENERIC,71273345_shp,71273345_19
1,71273345,GENERIC,71273345_shp,71273345_20
0,71273345,GENERIC,71273345_shp,71273345_21
1,71273345,GENERIC,71273345_shp,71273345_22
0,71273345,GENERIC,71273345_shp,71273345_23
1,71273345,GENERIC,71273345_shp,71273345_24
0,64293761,GENERIC,64293761_shp,64293761_1
1,64293761,GENERIC,64293761_shp,64293761_2
0,64293761,GENERIC,64293761_shp,64293761_3
1,64293761,GENERIC,64293761_shp,64293761_4
0,64293761,GENERIC,64293761_shp,64293761_5
1,64293761,GENERIC,64293761_shp,64293761_6
0,64293761,GENERIC,64293761_shp,64293761_7
1,64293761,GENERIC,64293761_shp,64293761_8
0,64293761,GENERIC,64293761_shp,64293761_9
1,64293761,GENERIC,64293761_shp,64293761_10
0,64293761,GENERIC,64293761_shp,64293761_11
1,64293761,GENERIC,64293761_shp,64293761_12
0,64293761,GENERIC,64293761_shp,64293761_13
1,64293761,GENERIC,64293761_shp,64293761_14
0,64293761,GENERIC,64293761_shp,64293761_15
1,64293761,GENERIC,64293761_shp,64293761_16
0,64293761,GENERIC,64293761_shp,64293761_17
1,64293761,GENERIC,64293761_shp,64293761_18
0,64293761,GENERIC,64293761_shp,64293761_19
1,64293761,GENERIC,64293761_shp,64293761_20
0,64293761,GENERIC,64293761_shp,64293761_21
1,64293761,GENERIC,64293761_shp,64293761_22
0,64293761,GENERIC,64293761_shp,64293761_23
1,64293761,GENERIC,64293761_shp,64293761_24
0,78854971,GENERIC,78854971_shp,78854971_1
1,78854971,GENERIC,78854971_shp,78854971_2
